Autor,Obra
Albeniz,Iberia Suite Book I 1 Evocacion Ab minor
Albeniz,Iberia Suite Book I 2 El Puerto Db major
Albeniz,Iberia Suite Book II 3 Triana F# minor
Albeniz,Iberia Suite Book III 1 El Albaicin Bb minor
Albeniz,Iberia Suite Book III 2 El Polo F minor
Albeniz,Iberia Suite Book III 3 Lavapies Db major
Albeniz,Iberia Suite Book IV 2 Jerez E minor
Albeniz,Iberia Suite Book IV 3 Eritana Eb major
Albeniz,Suite Espanola 1 Granada Op47 E major
Albeniz,Suite Espanola 2 Cataluna Op47 G minor
Albeniz,Suite Espanola 3 Sevilla Op47 G major
Albeniz,Suite Espanola 4 Cadiz Op47 C# major
Albeniz,Suite Espanola 6 Aragon Op47 F major
Albeniz,Suite Espanola 8 Cuba Op47 Eb major
Arnold,Scottish Dances 2 Vivace Eb major
Arnold,Scottish Dances 3 Allegretto F major
Bach,Allein Gott in der Hoh sei Ehr BWV664 A major
Bach,Allein Gott in der Hoh sei Her BWV711 C major
Bach,Aria or Trio bwv587 F major
Bach,Chromatic Fantasy and Fugue BWV 903 Fantasy D minor
Bach,Chromatic Fantasy and Fugue BWV 903 Fugue D minor
Bach,Concerto 1 BWV972 I D major
Bach,Concerto 2 BWV973 I G major
Bach,Concerto after Vivaldi BWV593 i A minor
Bach,Concerto after Vivaldi BWV596 Allegro D minor
Bach,Concerto and Fugue BWV909 Concerto C minor
Bach,Duetto no 2 from Clavier Ubung III BWV803 F major
Bach,English Suite 2 Gigue A minor
Bach,English Suite 3 Courante G minor
Bach,English Suite No 1 Bouree A major
Bach,English Suite No 1 Courante II A major
Bach,English Suite No 1 Gigue A major
Bach,English Suite No 2 courante A minor
Bach,English Suite No 2 Prelude A minor
Bach,English Suite No 3 Gavotte I G minor
Bach,English Suite No 3 Gigue G minor
Bach,English Suite No.1 Courante 1 A major
Bach,English Suite No.1 Courante II Double A major
Bach,Fantasy and Fugue bwv537 Fugue C minor
Bach,Fantasy and Fugue BWV542 Fugue G minor
Bach,Fantasy and Fugue BWV562 Fantasy C minor
